"variety","event","doy.2015"
"Calzin","flo",127.827730226793
"Carignane","flo",116.810797758056
"Carmenere","flo",110.380555680067
"Carnelian","flo",123.5
"Castelao","flo",117.218391703474
"Centurion","flo",120.726027667594
"Chasselas doree","flo",109.770210185934
"Cinsault","flo",123.702303812632
"Coda di Volpe","flo",125.363788719371
"Cot","flo",110.703284521188
"Counoise","flo",127.029564806055
"Dawn Seedless","flo",122.501375301712
"Dolcetto","flo",126.439368770764
"Emerald Reisling","flo",125.060419681621
"Erbaluce","flo",123.511155040949
"Flora","flo",120.739197966676
"Folle blance","flo",99.1072721414222
"Furmint","flo",126.083835519319
"Gewurztraminer","flo",112.63027761712
"Gold","flo",125.863095238095
"Graciano","flo",124.702928514785
"Grignolino","flo",124.303611449062
"Gruner Veltiner","flo",117.913880136953
"Juan Garcia","flo",121.614157301302
"July Muscat","flo",117.538287976267
"Macabeo","flo",124.193991492379
"Marsanne","flo",117.585028748342
"Melon","flo",101.983009708738
"Merlot","flo",116.339933790748
"Morrastel","flo",125.114329634228
"Muscadelle du Bordelais","flo",111.188995805576
"Negrette","flo",121.925864256264
"Negro Amaro","flo",127.60677466863
"Palomino","flo",125.460677908408
"Periquita","flo",117.709627714488
"Petit Manseng","flo",102.959940168971
"Picolit","flo",117.832450649976
"Queen","flo",123.622799512922
"Refosco","flo",116.926906249486
"Ribolla gialla","flo",120.739197966676
"Rkatsiteli","flo",123.5
"Ruby Seedless","flo",125.818358779479
"Sauvignon blanc","flo",126.526880324823
"Sauvignon gris","flo",117.37140893278
"Sauvignon vert","flo",111.971846846847
"Schiopettino","flo",123.810216508795
"Suavis","flo",113.896735070959
"Syrah","flo",126.018372703412
"Szagos feher","flo",127.360591764859
"Tannat","flo",117.409168462729
"Tempranillo","flo",123.5
"Thompson Seedless","flo",127.443614408514
"Tinta Amarella","flo",117.584374016269
"Tinta Cao","flo",112.488916871221
"Tinta Carvalha","flo",121.584386608929
"Tinta Francisca","flo",128.489286412542
"Tinta Madeira","flo",115.994697801487
"Tocai Friulano","flo",125
"Trebbiano toscano","flo",131.454545454545
"Verdello","flo",117.596944672438
"Vespolina","flo",116.143928006639
"Zinfandel/Primitivo","flo",120.70201421801
"Aleatico","ver",211.25
"Alicante Bouschet","ver",186.826801574827
"Aligote","ver",199.167238749047
"Arneis","ver",196.173476561583
"Auxerrois","ver",186.044884593946
"Biancello","ver",205.101709654004
"Blush Seedless","ver",212.299664881236
"Cabernet franc","ver",197.36933754911
"Calzin","ver",208.243662077131
"Carignane","ver",201.372445919824
"Carmenere","ver",196.694814117498
"Carnelian","ver",201.028949339883
"Castelao","ver",200.460189911306
"Centurion","ver",200.65735163352
"Chasselas doree","ver",187.012309062205
"Cinsault","ver",202.132628396342
"Coda di Volpe","ver",210.055270296288
"Cot","ver",195.828828828829
"Counoise","ver",199.139019981195
"Dawn Seedless","ver",217.5
"Dolcetto","ver",203.334191117832
"Emerald Reisling","ver",216.199644549763
"Erbaluce","ver",205.980099502488
"Flora","ver",209.102360084955
"Folle blance","ver",195.945088044078
"Furmint","ver",196.855774691882
"Gewurztraminer","ver",195.339184060721
"Gold","ver",195.892471580377
"Graciano","ver",211.751812941614
"Grignolino","ver",203.473485609103
"Gruner Veltiner","ver",191.066535478453
"Juan Garcia","ver",202.670357863583
"July Muscat","ver",204.264993232956
"Macabeo","ver",215.36127850644
"Marsanne","ver",192.635343119336
"Melon","ver",190.93610796502
"Merlot","ver",193.982140421675
"Morrastel","ver",211.25
"Muscadelle du Bordelais","ver",198.382751404106
"Negrette","ver",203.219454043394
"Negro Amaro","ver",204.765459576516
"Palomino","ver",208.352259525267
"Periquita","ver",199.310358403984
"Petit Manseng","ver",198.841139548288
"Picolit","ver",207.508578048526
"Queen","ver",209.405449016554
"Refosco","ver",203.784123325564
"Ribolla gialla","ver",193.14849056355
"Rkatsiteli","ver",206.155583437892
"Ruby Seedless","ver",211.703358602395
"Sauvignon blanc","ver",190.487548303993
"Sauvignon gris","ver",190.535761730166
"Sauvignon vert","ver",201.076331802344
"Schiopettino","ver",204.914927847975
"Suavis","ver",194.686786099384
"Syrah","ver",192.760444373399
"Szagos feher","ver",196.0146813052
"Tannat","ver",197.654559426229
"Tempranillo","ver",187.894047125001
"Thompson Seedless","ver",216.016226162596
"Tinta Amarella","ver",194.535343280183
"Tinta Cao","ver",204.153899592442
"Tinta Carvalha","ver",196.782339512625
"Tinta Francisca","ver",209.692061038321
"Tinta Madeira","ver",187.192821507086
"Tocai Friulano","ver",214.319435971383
"Trebbiano toscano","ver",210.837867093881
"Verdello","ver",193.259967620578
"Vespolina","ver",203.626589045979
"Zinfandel/Primitivo","ver",195.702330739622
