order.recorded,experiment,paper,application.date,measurement.date,dwe.Mg.ha.emp,dwe.Mg.ha.est,amendment.tilled.in,amendment.cat.agg,amendment.cat.det,amendment.CtoN.emp,amendment.CtoN.est,amendment.orgC.emp,amendment.orgC.est,amendment.totN.emp,amendment.totN.est,amendment.nh4.emp,amendment.nh4.est,amendment.no3.emp,amendment.no3.est,amendment.availP.emp,amendment.availP.est,amendment.totP.emp,amendment.totP.est,amendment.availK.emp,amendment.availK.est,amendment.totK.emp,amendment.totK.est,amendment.Fe.emp,amendment.Fe.est,amendment.Pb.emp,amendment.Pb.units,amendment.Pb.total,MAP.emp,MAP.est,MAT.emp,MAT.est,clim.class,site.soil.orgC,site.soil.totN,site.soil.availP,site.soil.availK,site.soil.pH,site.soil.perc.sand,site.soil.perc.silt,site.soil.perc.clay,site.soil.bulk.dens,site.plant.comm,vegetation.planted,amendment.in.planting.holes,grazed.or.cut,soil.sample.depth,soilC.con.mean,soilC.con.SD,soilC.con.letter,soilC.con.N,soilC.trt.mean,soilC.trt.SD,soilC.trt.letter,soilC.trt.N,soilC.trt.minus.con.paired.mean,soilC.trt.minus.con.paired.SD,soilC.trt.minus.con.paired.N,soilC.reported.comp.sig,soilC.comp.pval,soilC.LSD,soilC.analysis.Fval,soilC.analysis.pval,soilC.notes.analysis.LSD.F.p,soilC.units,soiltotN.con.mean,soiltotN.con.SD,soiltotN.con.letter,soiltotN.con.N,soiltotN.trt.mean,soiltotN.trt.SD,soiltotN.trt.letter,soiltotN.trt.N,soiltotN.trt.minus.con.paired.mean,soiltotN.trt.minus.con.paired.SD,soiltotN.trt.minus.con.paired.N,soiltotN.reported.comp.sig,soiltotN.comp.pval,soiltotN.LSD,soiltotN.analysis.Fval,soiltotN.analysis.pval,soiltotN.notes.analysis.LSD.F.p,soiltotN.units,soilNH4.con.mean,soilNH4.con.SD,soilNH4.con.letter,soilNH4.con.N,soilNH4.trt.mean,soilNH4.trt.SD,soilNH4.trt.letter,soilNH4.trt.N,soilNH4.comp.pval,soilNH4.LSD,soilNH4.analysis.Fval,soilNH4.analysis.pval,soilNH4.notes.analysis.LSD.F.p,soilNH4.units,soilNO3.con.mean,soilNO3.con.SD,soilNO3.con.letter,soilNO3.con.N,soilNO3.trt.mean,soilNO3.trt.SD,soilNO3.trt.letter,soilNO3.trt.N,soilNO3.comp.pval,soilNO3.LSD,soilNO3.analysis.Fval,soilNO3.analysis.pval,soilNO3.notes.analysis.LSD.F.p,soilNO3.units,soilP.con.mean,soilP.con.SD,soilP.con.letter,soilP.con.N,soilP.trt.mean,soilP.trt.SD,soilP.trt.letter,soilP.trt.N,soilP.comp.pval,soilP.LSD,soilP.analysis.Fval,soilP.analysis.pval,soilP.notes.analysis.LSD.F.p,soilP.units,soil_moisture.con.mean,soil_moisture.con.SD,soil_moisture.con.letter,soil_moisture.con.N,soil_moisture.trt.mean,soil_moisture.trt.SD,soil_moisture.trt.letter,soil_moisture.trt.N,soil_moisture.comp.pval,soil_moisture.LSD,soil_moisture.analysis.Fval,soil_moisture.analysis.pval,soil_moisture.notes.analysis.LSD.F.p,soil_moisture.units,soilPb.con.mean,soilPb.con.SD,soilPb.con.letter,soilPb.con.N,soilPb.trt.mean,soilPb.trt.SD,soilPb.trt.letter,soilPb.trt.N,soilPb.comp.pval,soilPb.LSD,soilPb.analysis.Fval,soilPb.analysis.pval,soilPb.notes.analysis.LSD.F.p,soilPb.units,extractable.or.total,labresp.con.mean,labresp.con.SD,labresp.con.letter,labresp.con.N,labresp.trt.mean,labresp.trt.SD,labresp.trt.letter,labresp.trt.N,labresp.comp.pval,labresp.LSD,labresp.analysis.Fval,labresp.analysis.pval,labresp.notes.analysis.LSD.F.p,labresp.units,MBC.con.mean,MBC.con.SD,MBC.con.letter,MBC.con.N,MBC.trt.mean,MBC.trt.SD,MBC.trt.letter,MBC.trt.N,MBC.comp.pval,MBC.LSD,MBC.analysis.Fval,MBC.analysis.pval,MBC.notes.analysis.LSD.F.p,MBC.units,biomass.or.abundance,ANPP.con.mean,ANPP.con.SD,ANPP.con.letter,ANPP.con.N,ANPP.trt.mean,ANPP.trt.SD,ANPP.trt.letter,ANPP.trt.N,ANPP.trt.minus.con.paired.mean,ANPP.trt.minus.con.paired.SD,ANPP.trt.minus.con.paired.N,ANPP.reported.comp.sig,ANPP.comp.pval,ANPP.LSD,ANPP.analysis.Fval,ANPP.analysis.pval,ANPP.notes.analysis.LSD.F.p,ANPP.units,mass.cover.or.growth,sprich.con.mean,sprich.con.SD,sprich.con.letter,sprich.con.N,sprich.trt.mean,sprich.trt.SD,sprich.trt.letter,sprich.trt.N,sprich.reported.comp.sig,sprich.comp.pval,sprich.LSD,sprich.analysis.Fval,sprich.analysis.pval,sprich.notes.analysis.LSD.F.p,sprich.units,speven.con.mean,speven.con.SD,speven.con.letter,speven.con.N,speven.trt.mean,speven.trt.SD,speven.trt.letter,speven.trt.N,speven.reported.comp.sig,speven.comp.pval,speven.analysis.Fval,speven.analysis.pval,speven.notes.analysis.LSD.F.p,speven.units,percent_native.con.mean,percent_native.con.SD,percent_native.con.letter,percent_native.con.N,percent_native.trt.mean,percent_native.trt.SD,percent_native.trt.letter,percent_native.trt.N,percent_native.analysis.Fval,percent_native.analysis.pval,percent_native.notes.analysis.LSD.F.p,percent_native.units,percent_annual.con.mean,percent_annual.con.SD,percent_annual.con.letter,percent_annual.con.N,percent_annual.trt.mean,percent_annual.trt.SD,percent_annual.trt.letter,percent_annual.trt.N,percent_annual.analysis.Fval,percent_annual.analysis.pval,percent_annual.notes.analysis.LSD.F.p,percent_annual.units,percent_grass.con.mean,percent_grass.con.SD,percent_grass.con.letter,percent_grass.con.N,percent_grass.trt.mean,percent_grass.trt.SD,percent_grass.trt.letter,percent_grass.trt.N,percent_grass.analysis.Fval,percent_grass.analysis.pval,percent_grass.notes.analysis.LSD.F.p,percent_grass.units,plantN.con.mean,plantN.con.SD,plantN.con.letter,plantN.con.N,plantN.trt.mean,plantN.trt.SD,plantN.trt.letter,plantN.trt.N,plantN.trt.minus.con.paired.mean,plantN.trt.minus.con.paired.SD,plantN.trt.minus.con.paired.N,plantN.reported.comp.sig,plantN.comp.pval,plantN.LSD,plantN.analysis.Fval,plantN.analysis.pval,plantN.notes.analysis.LSD.F.p,plantN.units,runoffamount.con.mean,runoffamount.con.SD,runoffamount.con.letter,runoffamount.con.N,runoffamount.trt.mean,runoffamount.trt.SD,runoffamount.trt.letter,runoffamount.trt.N,runoffamount.comp.pval,runoffamount.LSD,runoffamount.SED,runoffamount.analysis.pval,runoffamount.notes.analysis.LSD.F.p,runoffamount.units,runoffN.con.mean,runoffN.con.SD,runoffN.con.letter,runoffN.con.N,runoffN.trt.mean,runoffN.trt.SD,runoffN.trt.letter,runoffN.trt.N,runoffN.comp.pval,runoffN.LSD,runoffN.SED,runoffN.analysis.pval,runoffN.notes.analysis.LSD.F.p,runoffN.units,runoffP.con.mean,runoffP.con.SD,runoffP.con.letter,runoffP.con.N,runoffP.trt.mean,runoffP.trt.SD,runoffP.trt.letter,runoffP.trt.N,runoffP.LSD,runoffP.SED,runoffP.analysis.pval,runoffP.notes.analysis.LSD.F.p,runoffP.units,plantPb.con.mean,plantPb.con.SD,plantPb.con.letter,plantPb.con.N,plantPb.trt.mean,plantPb.trt.SD,plantPb.trt.letter,plantPb.trt.N,plantPb.LSD,plantPb.analysis.Fval,plantPb.analysis.pval,plantPb.notes.analysis.LSD.F.p,plantPb.units,soilWHC.con.mean,soilWHC.con.SD,soilWHC.con.letter,soilWHC.con.N,soilWHC.trt.mean,soilWHC.trt.SD,soilWHC.trt.letter,soilWHC.trt.N,soilWHC.analysis.Fval,soilWHC.analysis.pval,soilWHC.notes.analysis.LSD.F.p,soilWHC.units,soilCO2.con.mean,soilCO2.con.SD,soilCO2.con.letter,soilCO2.con.N,soilCO2.trt.mean,soilCO2.trt.SD,soilCO2.trt.letter,soilCO2.trt.N,soilCO2.trt.minus.con.paired.mean,soilCO2.trt.minus.con.paired.SD,soilCO2.trt.minus.con.paired.N,soilCO2.reported.comp.sig,soilCO2.units,soilN2O.con.mean,soilN2O.con.SD,soilN2O.con.letter,soilN2O.con.N,soilN2O.trt.mean,soilN2O.trt.SD,soilN2O.trt.letter,soilN2O.trt.N,soilN2O.comp.pval,soilN2O.units,soilCH4.con.mean,soilCH4.con.SD,soilCH4.con.letter,soilCH4.con.N,soilCH4.trt.mean,soilCH4.trt.SD,soilCH4.trt.letter,soilCH4.trt.N,soilCH4.comp.pval,soilCH4.units
249,KOWALJOW,KowaljowandMazzarino2007,11/15/2004,11/15/2005,40,40,no,compost,compost.municipal.solid.waste,17,17,128,128,7.7,7.7,0.14,0.14,0.1,0.1,0.158,0.158,4.05,4.05,NA,0.618,1.5,1.5,NA,7.93,,,,300,300,11.5,11.5,dry,6,0.5,0.0073,NA,6.6,93,4,3,1.18,shrubland,none,no,no,10,5.7,1.3,c,4,8.2,1,abc,4,,,,,,,,,,g / kg,0.46,0.09,c,4,0.56,0.02,bc,4,,,,,,,,,,g / kg,21.7,4.5,c,4,35.6,8.6,b,4,,,,,,mg / kg TOTAL inorganic N (NH4 + NO3),,,,,,,,,,,,,,,11.4,1.9,d,4,17.1,2.4,c,4,,,,,,mg / kg,11.58,2.04,a,4,11.04,4.14,ab,4,,,,,,%,,,,,,,,,,,,,,,,748,155,b,4,1450,210,a,4,,,,,,g C-CO2 / kg soil / 112 days,,,,,,,,,,,,,,,,7.59,3.58,c,4,11.36,10.06,bc,4,,,,,,,,,,% total plant cover,cover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,KOWALJOW,KowaljowandMazzarino2007,11/15/2004,11/15/2005,40,40,no,compost,compost.municipal.solid.waste,22,22,151,151,7,7,0.11,0.11,0.37,0.37,0.152,0.152,3.2,3.2,NA,0.536,1.3,1.3,NA,7.93,,,,300,300,11.5,11.5,dry,6,0.5,0.0073,NA,6.6,93,4,3,1.18,shrubland,none,no,no,10,5.7,1.3,c,4,7.1,0.9,bc,4,,,,,,,,,,g / kg,0.46,0.09,c,4,0.56,0.07,bc,4,,,,,,,,,,g / kg,21.7,4.5,c,4,30.6,7,bc,4,,,,,,mg / kg TOTAL inorganic N (NH4 + NO3),,,,,,,,,,,,,,,11.4,1.9,d,4,15.3,3.8,cd,4,,,,,,mg / kg,11.58,2.04,a,4,10.07,4.07,abc,4,,,,,,%,,,,,,,,,,,,,,,,748,155,b,4,1313,393,a,4,,,,,,g C-CO2 / kg soil / 112 days,,,,,,,,,,,,,,,,7.59,3.58,c,4,11.9,3.77,bc,4,,,,,,,,,,% total plant cover,cover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,KOWALJOW,KowaljowandMazzarino2007,11/15/2004,1/15/2006,40,40,no,compost,compost.biosolids.greenwaste,14,14,213,213,15.6,15.6,0.11,0.11,0.42,0.42,1.278,1.278,5.2,5.2,NA,0.701,1.7,1.7,NA,3.3,,,,300,300,11.5,11.5,dry,6,0.5,0.0073,NA,6.6,93,4,3,1.18,shrubland,none,no,no,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.47,1.17,a,4,4.42,0.8,c,4,,,,,,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,KOWALJOW,KowaljowandMazzarino2007,11/15/2004,1/15/2006,40,40,no,compost,compost.biosolids.greenwaste,16,16,285.5,285.5,18.45,18.45,0.34,0.34,1,1,1.689,1.689,5.5,5.5,NA,0.783,1.9,1.9,NA,3.3,,,,300,300,11.5,11.5,dry,6,0.5,0.0073,NA,6.6,93,4,3,1.18,shrubland,none,no,no,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.47,1.17,a,4,5.02,0.99,bc,4,,,,,,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,KOWALJOW,KowaljowandMazzarino2007,11/15/2004,1/15/2006,40,40,no,compost,compost.municipal.solid.waste,17,17,128,128,7.7,7.7,0.14,0.14,0.1,0.1,0.158,0.158,4.05,4.05,NA,0.618,1.5,1.5,NA,7.93,,,,300,300,11.5,11.5,dry,6,0.5,0.0073,NA,6.6,93,4,3,1.18,shrubland,none,no,no,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.47,1.17,a,4,5.35,1.05,abc,4,,,,,,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,KOWALJOW,KowaljowandMazzarino2007,11/15/2004,1/15/2006,40,40,no,compost,compost.municipal.solid.waste,22,22,151,151,7,7,0.11,0.11,0.37,0.37,0.152,0.152,3.2,3.2,NA,0.536,1.3,1.3,NA,7.93,,,,300,300,11.5,11.5,dry,6,0.5,0.0073,NA,6.6,93,4,3,1.18,shrubland,none,no,no,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.47,1.17,a,4,5.09,0.99,bc,4,,,,,,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,KOWALJOW,Kowaljowetal2010,11/15/2004,11/15/2006,40,40,no,compost,compost.biosolids.greenwaste,14,14,213,213,15.6,15.6,0.11,0.11,0.42,0.42,1.278,1.278,5.2,5.2,NA,0.701,1.7,1.7,NA,3.3,,,,300,300,11.5,11.5,dry,6,0.5,0.0073,NA,6.6,93,4,3,1.18,shrubland,none,no,no,10,5.5,,b,4,7,,a,4,,,,,,,,,,g / kg,0.48,,c,4,0.56,,a,4,,,,,,,,,,g / kg,2.5,,bc,4,3.3,,ab,4,,,,,,"mg / kg TOTAL inorganic N (NH4 + NO3); weird issue where 2007 and 2010 paper give different values for the 2005 sampling.  Used 2007 paper values for 2005 because they have SD, but not directly comparable with 2010 paper values(?)",,,,,,,,,,,,,,,9,,d,4,36.3,,a,4,,,,,,mg / kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,441.02,,d,4,829.23,,c,4,,,,,,"mg CO2 / kg soil / 112 days :  weird issue where 2007 and 2010 paper give different units for respiration (g in 2007 but mg in 2010).  Used 2007 paper values for 2005 because they have SD, but not directly comparable with 2010 paper values(?)",,,,,,,,,,,,,,,,0.085,0.022,c,4,0.126,0.085,b,4,,,,,,,,,,kg / m2,mass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.31,NA,,4,24.79,NA,,4,,,,% of total cover,,,,,,,,,,,,,0.96,0.12,,4,0.83,0.24,,4,,,,,,,,,,% N of dominant species (Poa ligularis),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,KOWALJOW,Kowaljowetal2010,11/15/2004,11/15/2006,40,40,no,compost,compost.biosolids.greenwaste,16,16,285.5,285.5,18.45,18.45,0.34,0.34,1,1,1.689,1.689,5.5,5.5,NA,0.783,1.9,1.9,NA,3.3,,,,300,300,11.5,11.5,dry,6,0.5,0.0073,NA,6.6,93,4,3,1.18,shrubland,none,no,no,10,5.5,,b,4,7,,a,4,,,,,,,,,,g / kg,0.48,,c,4,0.55,,ab,4,,,,,,,,,,g / kg,2.5,,bc,4,1.3,,d,4,,,,,,"mg / kg TOTAL inorganic N (NH4 + NO3); weird issue where 2007 and 2010 paper give different values for the 2005 sampling.  Used 2007 paper values for 2005 because they have SD, but not directly comparable with 2010 paper values(?)",,,,,,,,,,,,,,,9,,d,4,26.9,,b,4,,,,,,mg / kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,441.02,,d,4,1035.21,,ab,4,,,,,,"mg CO2 / kg soil / 112 days :  weird issue where 2007 and 2010 paper give different units for respiration (g in 2007 but mg in 2010).  Used 2007 paper values for 2005 because they have SD, but not directly comparable with 2010 paper values(?)",,,,,,,,,,,,,,,,0.085,0.022,c,4,0.126,0.072,b,4,,,,,,,,,,kg / m2,mass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.31,NA,,4,38.68,NA,,4,,,,% of total cover,,,,,,,,,,,,,0.96,0.12,,4,0.83,0.09,,4,,,,,,,,,,% N of dominant species (Poa ligularis),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,KOWALJOW,Kowaljowetal2010,11/15/2004,11/15/2006,40,40,no,compost,compost.municipal.solid.waste,17,17,128,128,7.7,7.7,0.14,0.14,0.1,0.1,0.158,0.158,4.05,4.05,NA,0.618,1.5,1.5,NA,7.93,,,,300,300,11.5,11.5,dry,6,0.5,0.0073,NA,6.6,93,4,3,1.18,shrubland,none,no,no,10,5.5,,b,4,7.1,,a,4,,,,,,,,,,g / kg,0.48,,c,4,0.58,,ab,4,,,,,,,,,,g / kg,2.5,,bc,4,2.1,,cd,4,,,,,,"mg / kg TOTAL inorganic N (NH4 + NO3); weird issue where 2007 and 2010 paper give different values for the 2005 sampling.  Used 2007 paper values for 2005 because they have SD, but not directly comparable with 2010 paper values(?)",,,,,,,,,,,,,,,9,,d,4,15.1,,cd,4,,,,,,mg / kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,441.02,,d,4,1082.75,,a,4,,,,,,"mg CO2 / kg soil / 112 days :  weird issue where 2007 and 2010 paper give different units for respiration (g in 2007 but mg in 2010).  Used 2007 paper values for 2005 because they have SD, but not directly comparable with 2010 paper values(?)",,,,,,,,,,,,,,,,0.085,0.022,c,4,0.102,0.014,bc,4,,,,,,,,,,kg / m2,mass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.31,NA,,4,21.2,NA,,4,,,,% of total cover,,,,,,,,,,,,,0.96,0.12,,4,0.77,0.05,,4,,,,,,,,,,% N of dominant species (Poa ligularis),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,KOWALJOW,Kowaljowetal2010,11/15/2004,11/15/2006,40,40,no,compost,compost.municipal.solid.waste,22,22,151,151,7,7,0.11,0.11,0.37,0.37,0.152,0.152,3.2,3.2,NA,0.536,1.3,1.3,NA,7.93,,,,300,300,11.5,11.5,dry,6,0.5,0.0073,NA,6.6,93,4,3,1.18,shrubland,none,no,no,10,5.5,,b,4,6.8,,a,4,,,,,,,,,,g / kg,0.48,,c,4,0.49,,ab,4,,,,,,,,,,g / kg,2.5,,bc,4,0.7,,e,4,,,,,,"mg / kg TOTAL inorganic N (NH4 + NO3); weird issue where 2007 and 2010 paper give different values for the 2005 sampling.  Used 2007 paper values for 2005 because they have SD, but not directly comparable with 2010 paper values(?)",,,,,,,,,,,,,,,9,,d,4,19.6,,bc,4,,,,,,mg / kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,441.02,,d,4,900.53,,bc,4,,,,,,"mg CO2 / kg soil / 112 days :  weird issue where 2007 and 2010 paper give different units for respiration (g in 2007 but mg in 2010).  Used 2007 paper values for 2005 because they have SD, but not directly comparable with 2010 paper values(?)",,,,,,,,,,,,,,,,0.085,0.022,c,4,0.128,0.028,b,4,,,,,,,,,,kg / m2,mass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.31,NA,,4,26.29,NA,,4,,,,% of total cover,,,,,,,,,,,,,0.96,0.12,,4,0.91,0.08,,4,,,,,,,,,,% N of dominant species (Poa ligularis),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,KOWALJOW,Kowaljowetal2010,11/15/2004,11/15/2007,40,40,no,compost,compost.biosolids.greenwaste,14,14,213,213,15.6,15.6,0.11,0.11,0.42,0.42,1.278,1.278,5.2,5.2,NA,0.701,1.7,1.7,NA,3.3,,,,300,300,11.5,11.5,dry,6,0.5,0.0073,NA,6.6,93,4,3,1.18,shrubland,none,no,no,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.074,0.02,c,4,0.139,0.045,ab,4,,,,,,,,,,kg / m2,mass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.05,NA,,4,4.82,NA,,4,,,,% of total cover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,KOWALJOW,Kowaljowetal2010,11/15/2004,11/15/2007,40,40,no,compost,compost.biosolids.greenwaste,16,16,285.5,285.5,18.45,18.45,0.34,0.34,1,1,1.689,1.689,5.5,5.5,NA,0.783,1.9,1.9,NA,3.3,,,,300,300,11.5,11.5,dry,6,0.5,0.0073,NA,6.6,93,4,3,1.18,shrubland,none,no,no,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.074,0.02,c,4,0.133,0.043,abc,4,,,,,,,,,,kg / m2,mass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.05,NA,,4,9.21,NA,,4,,,,% of total cover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,KOWALJOW,Kowaljowetal2010,11/15/2004,11/15/2007,40,40,no,compost,compost.municipal.solid.waste,17,17,128,128,7.7,7.7,0.14,0.14,0.1,0.1,0.158,0.158,4.05,4.05,NA,0.618,1.5,1.5,NA,7.93,,,,300,300,11.5,11.5,dry,6,0.5,0.0073,NA,6.6,93,4,3,1.18,shrubland,none,no,no,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.074,0.02,c,4,0.095,0.007,c,4,,,,,,,,,,kg / m2,mass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.05,NA,,4,11.44,NA,,4,,,,% of total cover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,KOWALJOW,Kowaljowetal2010,11/15/2004,11/15/2007,40,40,no,compost,compost.municipal.solid.waste,22,22,151,151,7,7,0.11,0.11,0.37,0.37,0.152,0.152,3.2,3.2,NA,0.536,1.3,1.3,NA,7.93,,,,300,300,11.5,11.5,dry,6,0.5,0.0073,NA,6.6,93,4,3,1.18,shrubland,none,no,no,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.074,0.02,c,4,0.1,0.047,bc,4,,,,,,,,,,kg / m2,mass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.05,NA,,4,8.53,NA,,4,,,,% of total cover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
